组别,代码,名称,昨日弱势依据,昨日涨跌幅%,昨日最高价,昨日收盘价,竞价价格,竞价涨幅%,竞价成交额元,昨日竞价成交额元,竞价额较昨日倍数,竞价换手率%,昨日回落收复比例,未通过条件
B,600033.SH,福建高速,昨日下跌至少1%,-1.897019,3.67,3.62,3.69,1.933702,8288109.0,435262.0,19.041655,0.081843,1.4,
B,603345.SH,安井食品,昨日下跌至少1%,-1.61269,75.38,74.43,76.01,2.1228,21069972.0,1233280.0,17.0845,0.094513,1.663158,
B,603257.SH,中国瑞林,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.309076,72.85,70.42,73.5,4.373757,6100500.0,854674.0,7.137809,0.333333,1.26749,
B,000510.SZ,新金路,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.0,18.7,17.82,18.35,2.974186,13039510.0,2079444.0,6.270671,0.11707,0.602273,
B,000408.SZ,藏格矿业,昨日下跌至少1%,-1.86722,72.48,70.95,73.85,4.087385,31711190.0,6222459.0,5.096247,0.02737,1.895425,
B,601138.SH,工业富联,昨日下跌至少1%,-1.700626,62.78,61.27,62.98,2.790925,76671852.0,22184960.0,3.456028,0.006135,1.13245,
B,002290.SZ,禾盛新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.255358,66.88,64.5,67.0,3.875969,5346600.0,1772896.0,3.015744,0.032265,1.05042,
B,603228.SH,景旺电子,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.020487,107.72,104.26,108.0,3.587186,45241200.0,15358032.0,2.945768,0.042657,1.080925,
B,603738.SH,泰晶科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.796247,37.77,36.63,37.67,2.839203,14405008.0,5464890.0,2.635919,0.099096,0.912281,
B,600895.SH,张江高科,昨日下跌至少1%,-1.060445,28.41,27.99,28.28,1.036084,6549648.0,2722105.0,2.406097,0.014955,0.690476,
B,603256.SH,宏和科技,昨日冲高回落且收于日内下半区,1.326075,151.88,145.18,149.01,2.638104,63567666.0,26837350.0,2.368627,0.04716,0.571642,
B,002201.SZ,九鼎新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.421801,10.85,10.4,10.71,2.980769,9874620.0,4194750.0,2.354043,0.15315,0.688889,
B,000933.SZ,神火股份,昨日下跌至少1%,-1.563082,27.02,26.45,27.04,2.230624,14415024.0,6270520.0,2.298856,0.023719,1.035088,
B,000977.SZ,浪潮信息,昨日下跌至少1%,-1.883345,71.25,69.81,71.0,1.704627,45042400.0,23251800.0,1.937158,0.043247,0.826389,
B,000733.SZ,振华科技,昨日下跌至少1%,-2.296905,41.45,40.41,41.13,1.781737,5235849.0,2714862.0,1.928588,0.022975,0.692308,
B,002436.SZ,兴森科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.738318,42.7,41.2,42.0,1.941748,49795200.0,26181960.0,1.90189,0.078106,0.533333,
B,002138.SZ,顺络电子,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.327856,51.45,49.93,50.92,1.982776,7989348.0,4336496.0,1.842351,0.020474,0.651316,
B,600353.SH,旭光电子,昨日冲高回落且收于日内下半区,-0.440788,35.49,33.88,35.2,3.896104,37414080.0,20978000.0,1.783491,0.128244,0.819876,
B,000960.SZ,锡业股份,昨日下跌至少1%,-2.046263,33.96,33.03,33.62,1.786255,12869736.0,7347816.0,1.751505,0.023264,0.634409,
B,601212.SH,白银有色,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-5.460218,6.41,6.06,6.3,3.960396,40963860.0,23487500.0,1.744071,0.087811,0.685714,
B,002902.SZ,铭普光磁,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.114804,30.1,29.16,30.02,2.949246,14814870.0,8823220.0,1.679077,0.264653,0.914894,
B,002484.SZ,江海股份,昨日冲高回落且收于日内下半区,-0.364964,61.9,60.06,61.31,2.081252,16835726.0,10099185.0,1.667038,0.033469,0.679348,
B,002886.SZ,沃特股份,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.677575,27.12,26.17,26.7,2.02522,11171280.0,6958315.0,1.605458,0.200117,0.557895,
A,003001.SZ,中岩大地,昨日开板26次,10.016243,20.32,20.32,20.69,1.820866,37808906.0,24276571.0,1.557424,1.598062,,
B,002379.SZ,宏桥控股,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.390438,17.68,17.15,17.5,2.040816,5887000.0,3816855.0,1.542369,0.029603,0.660377,
B,600584.SH,长电科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.588066,70.31,67.75,69.1,1.99262,46421380.0,30774000.0,1.508461,0.037543,0.527344,
