组别,代码,名称,昨日弱势依据,昨日涨跌幅%,竞价涨幅%,竞价额万元,较昨日竞价额倍数,竞价换手率%,分类
A,600822.SH,上海物贸,昨日开板2次,9.9648,9.2751,2373.285,87.8019,0.584479,强高开补充
A,600448.SH,华纺股份,昨日开板2次,9.8976,9.9379,2139.4344,43.8902,0.959576,强高开补充
A,002080.SZ,中材科技,昨日炸板未封住,5.0286,10.0017,43495.3632,2.5095,0.401472,强高开补充
A,003001.SZ,中岩大地,昨日开板26次,10.0162,1.8209,3780.8906,1.5574,1.598062,常规
B,001376.SZ,百通能源,昨日下跌至少1%,-1.371,9.9913,3383.6382,55.9501,1.243172,强高开补充
B,600033.SH,福建高速,昨日下跌至少1%,-1.897,1.9337,828.8109,19.0417,0.081843,常规
B,603345.SH,安井食品,昨日下跌至少1%,-1.6127,2.1228,2106.9972,17.0845,0.094513,常规
B,603686.SH,福龙马,昨日下跌至少1%,-2.0209,10.0284,7473.7117,13.537,1.162914,强高开补充
B,603257.SH,中国瑞林,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.3091,4.3738,610.05,7.1378,0.333333,常规
B,000510.SZ,新金路,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.0,2.9742,1303.951,6.2707,0.11707,常规
B,000408.SZ,藏格矿业,昨日下跌至少1%,-1.8672,4.0874,3171.119,5.0962,0.02737,常规
B,601138.SH,工业富联,昨日下跌至少1%,-1.7006,2.7909,7667.1852,3.456,0.006135,常规
B,002290.SZ,禾盛新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.2554,3.876,534.66,3.0157,0.032265,常规
B,603228.SH,景旺电子,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.0205,3.5872,4524.12,2.9458,0.042657,常规
B,603738.SH,泰晶科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.7962,2.8392,1440.5008,2.6359,0.099096,常规
B,600895.SH,张江高科,昨日下跌至少1%,-1.0604,1.0361,654.9648,2.4061,0.014955,常规
B,603256.SH,宏和科技,昨日冲高回落且收于日内下半区,1.3261,2.6381,6356.7666,2.3686,0.04716,常规
B,002201.SZ,九鼎新材,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.4218,2.9808,987.462,2.354,0.15315,常规
B,000933.SZ,神火股份,昨日下跌至少1%,-1.5631,2.2306,1441.5024,2.2989,0.023719,常规
B,000977.SZ,浪潮信息,昨日下跌至少1%,-1.8833,1.7046,4504.24,1.9372,0.043247,常规
B,000733.SZ,振华科技,昨日下跌至少1%,-2.2969,1.7817,523.5849,1.9286,0.022975,常规
B,002436.SZ,兴森科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.7383,1.9417,4979.52,1.9019,0.078106,常规
B,002138.SZ,顺络电子,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.3279,1.9828,798.9348,1.8424,0.020474,常规
B,600353.SH,旭光电子,昨日冲高回落且收于日内下半区,-0.4408,3.8961,3741.408,1.7835,0.128244,常规
B,000960.SZ,锡业股份,昨日下跌至少1%,-2.0463,1.7863,1286.9736,1.7515,0.023264,常规
B,601212.SH,白银有色,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-5.4602,3.9604,4096.386,1.7441,0.087811,常规
B,002902.SZ,铭普光磁,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.1148,2.9492,1481.487,1.6791,0.264653,常规
B,002484.SZ,江海股份,昨日冲高回落且收于日内下半区,-0.365,2.0813,1683.5726,1.667,0.033469,常规
B,002886.SZ,沃特股份,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.6776,2.0252,1117.128,1.6055,0.200117,常规
B,002379.SZ,宏桥控股,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.3904,2.0408,588.7,1.5424,0.029603,常规
B,600584.SH,长电科技,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-2.5881,1.9926,4642.138,1.5085,0.037543,常规
