组别,代码,名称,昨日弱势依据,昨日涨跌幅%,昨日最高价,昨日收盘价,竞价价格,竞价涨幅%,竞价成交额元,昨日竞价成交额元,竞价额较昨日倍数,竞价换手率%,昨日回落收复比例,未通过条件
A,600822.SH,上海物贸,昨日开板2次,9.96483,9.38,9.38,10.25,9.275053,23732850.0,270300.0,87.801887,0.584479,,竞价高开超过7%（含竞价涨停）
A,600356.SH,恒丰纸业,昨日开板2次,10.043197,10.19,10.19,9.9,-2.845927,7339860.0,89143.0,82.338041,0.248183,,竞价高开不足1%
B,000407.SZ,胜利股份,昨日下跌至少1%,-1.421801,4.21,4.16,4.2,0.961538,371700.0,4631.0,80.263442,0.010105,0.8,竞价高开不足1%；竞价额不足500万
B,000803.SZ,山高环能,昨日冲高回落且收于日内下半区,-0.828729,7.4,7.18,7.16,-0.278552,1641072.0,26566.0,61.773395,0.049302,-0.090909,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,001376.SZ,百通能源,昨日下跌至少1%,-1.371037,11.64,11.51,12.66,9.991312,33836382.0,604760.0,55.950099,1.243172,8.846154,竞价高开超过7%（含竞价涨停）
A,600448.SH,华纺股份,昨日开板2次,9.897611,3.22,3.22,3.54,9.937888,21394344.0,487452.0,43.890155,0.959576,,竞价高开超过7%（含竞价涨停）
B,600971.SH,恒源煤电,昨日下跌至少1%,-1.631702,8.58,8.44,8.37,-0.829384,1213650.0,39422.0,30.786109,0.012083,-0.5,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,001283.SZ,豪鹏科技,昨日下跌至少1%,-1.066722,47.94,47.3,48.24,1.987315,1780056.0,66906.0,26.605327,0.035687,1.46875,竞价额不足500万
B,002123.SZ,梦网科技,昨日下跌至少1%,-1.305483,7.7,7.56,7.66,1.322751,1365012.0,54720.0,24.945395,0.024732,0.714286,竞价额不足500万
A,000700.SZ,模塑科技,昨日炸板未封住,6.828392,12.24,11.89,11.95,0.504626,21678495.0,892032.0,24.302374,0.197611,0.171429,竞价高开不足1%；未收复昨日回落的一半
A,002510.SZ,天汽模,昨日炸板未封住,6.642729,6.13,5.94,5.92,-0.3367,8920848.0,397271.0,22.455321,0.148449,-0.105263,竞价高开不足1%；未收复昨日回落的一半
B,605319.SH,无锡振华,昨日下跌至少1%,-1.770695,22.7,22.19,22.33,0.630915,911064.0,45080.0,20.209938,0.011719,0.27451,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,002248.SZ,华东数控,昨日炸板未封住,5.200433,10.15,9.71,9.7,-0.102987,6197330.0,321434.0,19.280257,0.207775,-0.022727,竞价高开不足1%；未收复昨日回落的一半
B,600033.SH,福建高速,昨日下跌至少1%,-1.897019,3.67,3.62,3.69,1.933702,8288109.0,435262.0,19.041655,0.081843,1.4,
B,603345.SH,安井食品,昨日下跌至少1%,-1.61269,75.38,74.43,76.01,2.1228,21069972.0,1233280.0,17.0845,0.094513,1.663158,
B,002136.SZ,安纳达,昨日下跌至少1%,-1.090604,11.93,11.79,11.84,0.424088,213120.0,13046.0,16.336042,0.008393,0.357143,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,002613.SZ,北玻股份,昨日炸板未封住,6.017192,3.84,3.7,3.66,-1.081081,16758408.0,1027250.0,16.313855,0.591827,-0.285714,竞价高开不足1%；未收复昨日回落的一半
B,002701.SZ,奥瑞金,昨日下跌至少1%,-1.128668,4.42,4.38,4.39,0.228311,2428548.0,149396.0,16.255777,0.021632,0.25,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002992.SZ,宝明科技,昨日下跌至少1%,-1.249256,33.93,33.2,33.92,2.168675,1322880.0,83675.0,15.80974,0.024647,0.986301,竞价额不足500万
B,603686.SH,福龙马,昨日下跌至少1%,-2.020906,14.38,14.06,15.47,10.02845,74737117.0,5520960.0,13.536979,1.162914,4.40625,竞价高开超过7%（含竞价涨停）
B,002180.SZ,奔图科技,昨日下跌至少1%,-1.715686,16.39,16.04,16.18,0.872818,1268512.0,118625.0,10.693463,0.005696,0.4,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,603708.SH,家家悦,昨日下跌至少1%,-1.015801,8.87,8.77,8.76,-0.114025,549252.0,62090.0,8.846062,0.009822,-0.1,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600117.SH,西宁特钢,昨日下跌至少1%,-1.357466,2.21,2.18,2.19,0.458716,237615.0,30940.0,7.679864,0.003333,0.333333,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,600055.SH,万东医疗,昨日下跌至少1%,-1.088032,10.19,10.0,10.1,1.0,372690.0,50500.0,7.38,0.005248,0.526316,竞价额不足500万
A,603773.SH,沃格光电,昨日炸板未封住,2.591793,101.86,95.0,96.83,1.926316,72961405.0,10065741.0,7.248488,0.335368,0.266764,未收复昨日回落的一半
B,603257.SH,中国瑞林,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.309076,72.85,70.42,73.5,4.373757,6100500.0,854674.0,7.137809,0.333333,1.26749,
B,000635.SZ,英力特,昨日下跌至少1%,-2.98913,7.32,7.14,7.17,0.420168,1254750.0,176418.0,7.112369,0.047707,0.166667,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,605389.SH,长龄液压,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.725454,66.45,64.36,64.9,0.83903,499730.0,72248.0,6.91687,0.004118,0.258373,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,601187.SH,厦门银行,昨日下跌至少1%,-1.963534,7.15,6.99,6.95,-0.572246,2268480.0,335110.0,6.769359,0.012395,-0.25,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
A,001326.SZ,联域股份,昨日炸板未封住,8.372365,93.94,92.55,93.08,0.572663,17768972.0,2694384.0,6.594818,0.794844,0.381295,竞价高开不足1%；未收复昨日回落的一半
B,600756.SH,浪潮软件,昨日下跌至少1%,-1.315789,13.7,13.5,13.53,0.222222,131241.0,20520.0,6.39576,0.002993,0.15,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,002026.SZ,山东威达,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-3.127642,11.93,11.46,11.48,0.17452,1484364.0,234800.0,6.321823,0.029353,0.042553,竞价高开不足1%；竞价额不足500万；未收复昨日回落的一半
B,000510.SZ,新金路,昨日下跌至少1%；昨日冲高回落且收于日内下半区,-1.0,18.7,17.82,18.35,2.974186,13039510.0,2079444.0,6.270671,0.11707,0.602273,
