signal_date,instrument_id,name,observed_sessions,first_limit_date,first_limit_lag,all_limit_dates
2026-09-09,002442.SZ,龙星科技,5,2026-09-16,5,2026-09-16
2026-09-09,002913.SZ,奥士康,5,2026-09-16,5,2026-09-16
2026-09-09,002661.SZ,克明食品,5,2026-09-10,1,2026-09-10
2026-09-09,600488.SH,津药药业,5,2026-09-10,1,2026-09-10;2026-09-14
2026-09-09,603285.SH,键邦股份,5,2026-09-14,3,2026-09-14
2026-09-09,002617.SZ,露笑科技,5,2026-09-16,5,2026-09-16
2026-09-09,605011.SH,杭州热电,5,2026-09-11,2,2026-09-11
2026-09-09,600744.SH,华银电力,5,2026-09-10,1,2026-09-10
2026-09-09,603316.SH,诚邦股份,5,2026-09-10,1,2026-09-10
2026-09-09,600667.SH,太极实业,5,2026-09-10,1,2026-09-10
2026-09-09,000812.SZ,陕西金叶,5,2026-09-14,3,2026-09-14
2026-09-09,002730.SZ,电光科技,5,2026-09-16,5,2026-09-16
2026-09-09,600616.SH,金枫酒业,5,2026-09-16,5,2026-09-16
2026-09-09,600088.SH,中视传媒,5,2026-09-11,2,2026-09-11;2026-09-14
2026-09-09,603230.SH,内蒙新华,5,2026-09-16,5,2026-09-16
2026-09-09,000753.SZ,漳州发展,5,2026-09-16,5,2026-09-16
2026-09-09,000722.SZ,湖南发展,5,2026-09-10,1,2026-09-10
2026-09-09,002846.SZ,英联股份,5,2026-09-15,4,2026-09-15;2026-09-16
2026-09-09,600228.SH,返利科技,5,2026-09-14,3,2026-09-14
2026-09-09,002174.SZ,游族网络,5,2026-09-10,1,2026-09-10
2026-09-09,002519.SZ,银河电子,5,2026-09-11,2,2026-09-11
2026-09-09,000731.SZ,四川美丰,5,2026-09-16,5,2026-09-16
2026-09-09,603601.SH,再升科技,5,2026-09-10,1,2026-09-10
2026-09-09,000670.SZ,盈方微,5,2026-09-16,5,2026-09-16
2026-09-09,600712.SH,南宁百货,5,2026-09-10,1,2026-09-10
