优先级,代码,名称,9月16收盘,当日涨幅%,当日成交量除以前5日均量,换手率%,成交额亿元,流通市值亿元,当前轮锚日期,当前轮收盘失效底线,9月16最高价,前14交易日最高价,选择原因,弱点
1,001288.SZ,运机集团,30.65,8.5,3.35,6.0931,2.79,46.55,2026-09-16,27.64,31.08,30.88,当天新放量3.35倍、上涨8.50%；收盘只差此前14日高点0.74%，流通市值46.5亿元，短线活跃度与突破位置兼具。,收盘较日内高点回落1.38%，最后一小时回落1.38%；盘中接近涨停仍未封住，次日需要确认承接。
2,002935.SZ,天奥电子,16.19,6.79,2.64,1.9657,1.29,67.2,2026-09-16,15.11,16.38,16.16,当天放量2.64倍、上涨6.79%，收盘略突破此前14日高点；最后一小时继续上涨1.31%。同一统计行业61只中96.7%收涨，属于行业整体较强背景下的个股走强。,换手率1.97%，活跃度弱于部分候选；分时均价不完整，不将其描述为全天沿均价线上行。
3,002623.SZ,亚玛顿,16.76,3.58,3.41,7.4816,2.37,32.29,2026-09-16,15.85,16.96,16.73,放量3.41倍，上涨3.58%，换手7.48%，流通市值32.3亿元；收盘站上此前14日高点附近。10点仍跌1.2%左右，随后转强，尾盘保持正向。,收盘仅高于此前14日高点0.18%，突破幅度很小，次日可能重新跌回区间。
4,001211.SZ,双枪科技,24.23,8.51,2.84,7.5418,1.68,22.62,2026-09-16,22.12,24.56,25.1,当天放量2.84倍、上涨8.51%，换手7.54%，流通市值22.6亿元；午后保持强势，最后半段未明显回吐。,距此前14日高点仍低3.47%，上方仍有压力；当日大涨后，次日分歧可能加大。
5,603558.SH,健盛集团,13.05,4.32,2.77,2.4463,1.07,44.71,2026-09-16,12.2,13.15,12.65,放量2.77倍、上涨4.32%，收盘超过此前14日高点3.16%；最后一小时上涨1.01%，收盘高于当日累计均价2.42%，下午转强有完整均价证据。,成交额1.07亿元、换手2.45%，活跃度偏温和；价格结构较好不等于具备强烈涨停推动力。
6,603507.SH,振江股份,23.55,3.88,3.22,7.3473,4.01,55.65,2026-09-15,21.6,23.67,24.29,9/15、9/16连续两次符合放量，底线保持在9/15的21.60元；9/16量倍3.22、换手7.35%，收盘位于当日振幅上方约9%，最后一小时继续上涨0.73%。,收盘仍低于此前14日高点3.05%；统计行业上涨广度约51.9%，同行配合弱于多数入选标的。
7,002745.SZ,木林森,12.38,4.38,1.26,7.0544,9.13,130.83,2026-09-14,10.82,12.45,12.04,9/14放量锚仍有效；9/16仅用此前5日均量1.26倍的成交量上涨4.38%，收盘突破此前14日高点2.82%。完整分时中约97.9%的分钟收盘在均价线上，午后最低涨幅仍约3.9%。,近5日已涨9.56%，流通市值130.8亿元，次日继续拉升需要更强的增量交易。
8,600360.SH,华微电子,11.08,2.5,1.48,10.4272,10.87,106.4,2026-09-11,9.49,11.2,10.98,9/11锚仍有效，9/15再次出现放量信号；9/16成交10.87亿元、换手10.43%，最后一小时上涨2.59%，收盘高于累计均价2.08%，晚段转强明显。,近5日已涨11.92%，换手偏高；单日尾盘走强可能次日兑现，不把它当成必然启动信号。
9,002973.SZ,侨银股份,13.3,6.31,0.96,4.2533,1.77,42.25,2026-09-11,11.3,13.36,13.18,9/11放量后底线持续有效；9/16量倍仅0.96却上涨6.31%，收盘距日内高点仅0.45%，超过此前14日高点0.91%，呈现较小成交量下的价格突破。,当天没有新放量，必须继续观察突破能否维持；锚底11.30元距现价较远，不能把策略底线直接当作短线止损价。
10,603010.SH,万盛股份,12.29,4.77,2.43,3.0556,2.14,70.15,2026-09-16,11.71,12.51,12.44,当天放量2.43倍、上涨4.77%，成交2.14亿元、换手3.06%；距此前14日高点仅1.21%，完整分时约92.1%的分钟收盘位于均价线上。,最后一小时回落1.13%，收盘仅高于均价0.40%，尾段力度弱于前列候选，因此排在第10。
