instrument_id,name,industry,snapshot_industry,close,change_pct,close_position,volume_multiple,turnover_pct,float_cap_100m,amount_100m,breakout_distance_pct,prior14_high,day_high,day_low,five_day_return_pct,ma5,last_event,last_event_age,last_event_multiple,anchor_date,anchor_low,anchor_margin_pct,events,reset_count,min_post_anchor_close,contraction_days,current_vs_anchor_close_pct,sector_positive_ratio,sector_peer_count,screen_rank,research_score,score_components
001288.SZ,运机集团,专用设备,能源及重型设备,30.65,8.495575221238937,0.875,3.353946435702495,6.0931,46.5490745,2.7907561182,-0.7448186528497436,30.88,31.08,27.64,2.268935602268929,29.248,2026-09-16,0,3.353946435702495,2026-09-16,27.64,10.890014471780018,1,0,,0,0.0,0.8064516129032258,62,5,92.07228814975764,"{'close_strength': 13.125, 'breakout_proximity': 10.882772020725385, 'recent_signal': 10.0, 'price_momentum': 10, 'active_volume': 10, 'industry_breadth': 8.064516129032258, 'turnover': 10, 'float_cap': 10, 'liquidity': 5, 'controlled_5d_move': 5}"
603558.SH,健盛集团,服装家纺,棉纺,13.05,4.316546762589946,0.8947368421052636,2.7656501356560335,2.4463,44.714259,1.06799552,3.1620553359683834,12.65,13.15,12.2,6.879606879606914,12.434000000000001,2026-09-16,0,2.7656501356560335,2026-09-16,12.2,6.9672131147541005,1,0,,0,0.0,0.875,8,13,91.85628603589552,"{'close_strength': 13.421052631578954, 'breakout_proximity': 15, 'recent_signal': 10.0, 'price_momentum': 8.860911270983243, 'active_volume': 10, 'industry_breadth': 8.75, 'turnover': 8.154333333333334, 'float_cap': 10, 'liquidity': 2.6699888, 'controlled_5d_move': 5}"
002623.SZ,亚玛顿,光伏设备,光伏辅材,16.76,3.584672435105074,0.8198198198198207,3.407254105567348,7.4816,32.28581035999999,2.3713938334,0.1793185893604443,16.73,16.96,15.85,3.9057656540607777,16.316,2026-09-16,0,3.407254105567348,2026-09-16,15.85,5.74132492113566,1,0,,0,0.0,0.85,20,4,90.7073959065131,"{'close_strength': 12.29729729729731, 'breakout_proximity': 12.268977884040668, 'recent_signal': 10.0, 'price_momentum': 7.641120725175123, 'active_volume': 10, 'industry_breadth': 8.5, 'turnover': 10, 'float_cap': 10, 'liquidity': 5, 'controlled_5d_move': 5}"
002935.SZ,天奥电子,军工电子,军工电子Ⅲ,16.19,6.794195250659629,0.8503937007874033,2.644003163350038,1.9657,67.20321671,1.2926074227,0.18564356435644136,16.16,16.38,15.11,2.209595959595978,15.598,2026-09-16,0,2.644003163350038,2026-09-16,15.11,7.147584381204508,1,0,,0,0.0,0.9672131147540983,61,16,88.80222522757003,"{'close_strength': 12.755905511811049, 'breakout_proximity': 12.278465346534663, 'recent_signal': 10.0, 'price_momentum': 10, 'active_volume': 10, 'industry_breadth': 9.672131147540984, 'turnover': 6.552333333333333, 'float_cap': 9.3118713316, 'liquidity': 3.2315185567499998, 'controlled_5d_move': 5}"
603010.SH,万盛股份,化学制品,其他化学制品,12.29,4.774083546462049,0.7249999999999989,2.427024929130455,3.0556,70.14865307,2.13502063,-1.205787781350487,12.44,12.51,11.71,6.222990492653424,11.764,2026-09-16,0,2.427024929130455,2026-09-16,11.71,4.953031596925683,1,0,,0,0.0,0.9156626506024096,83,20,88.67559593428737,"{'close_strength': 10.874999999999982, 'breakout_proximity': 10.191318327974269, 'recent_signal': 10.0, 'price_momentum': 9.623472577436749, 'active_volume': 9.635124645652276, 'industry_breadth': 9.156626506024097, 'turnover': 10, 'float_cap': 9.1940538772, 'liquidity': 5, 'controlled_5d_move': 5}"
001211.SZ,双枪科技,家居用品,其他家居用品,24.23,8.508732646663697,0.8647540983606563,2.836409339725973,7.5418,22.61630623,1.6750980755999998,-3.46613545816733,25.1,24.56,22.12,-1.7437145174371338,23.266,2026-09-16,0,2.836409339725973,2026-09-16,22.12,9.5388788426763,1,0,,0,0.0,0.7083333333333334,24,11,86.04318681049219,"{'close_strength': 12.971311475409845, 'breakout_proximity': 6.800796812749006, 'recent_signal': 10.0, 'price_momentum': 10, 'active_volume': 10, 'industry_breadth': 7.083333333333334, 'turnover': 10, 'float_cap': 10, 'liquidity': 4.187745188999999, 'controlled_5d_move': 5}"
002745.SZ,木林森,光学光电子,LED,12.38,4.384485666104565,0.8970588235294139,1.2612210122978411,7.0544,130.83028012000003,9.1278730969,2.823920265780755,12.04,12.45,11.77,9.55752212389378,11.678,2026-09-14,2,2.330090419729513,2026-09-14,10.82,14.417744916820707,1,0,11.86,2,3.8590604026845776,0.9310344827586207,29,74,84.4561209569147,"{'close_strength': 13.45588235294121, 'breakout_proximity': 15, 'recent_signal': 7.142857142857143, 'price_momentum': 8.974142776840942, 'active_volume': 3.8061050614892054, 'industry_breadth': 9.310344827586206, 'turnover': 10, 'float_cap': 6.766788795199999, 'liquidity': 5, 'controlled_5d_move': 5}"
603507.SH,振江股份,风电设备,风电零部件,23.55,3.8817820908689793,0.9083969465648849,3.220066464954446,7.3473,55.6495449,4.01348505,-3.046521202140795,24.29,23.67,22.36,5.274921770228014,22.496000000000002,2026-09-16,0,3.220066464954446,2026-09-15,21.6,9.027777777777768,2,0,23.55,0,3.8817820908689793,0.5185185185185185,27,8,84.1516792692289,"{'close_strength': 13.625954198473273, 'breakout_proximity': 7.4302181967888075, 'recent_signal': 10.0, 'price_momentum': 8.136303484781632, 'active_volume': 10, 'industry_breadth': 5.185185185185185, 'turnover': 10, 'float_cap': 9.774018204, 'liquidity': 5, 'controlled_5d_move': 5}"
001358.SZ,兴欣新材,化学制品,其他化学制品,24.54,6.279774794283233,0.8235294117647061,3.335884858061064,8.3063,12.50958402,1.0281725092,-5.3240740740740815,25.92,24.9,22.86,2.59197324414715,23.38,2026-09-16,0,3.335884858061064,2026-09-16,22.86,7.349081364829391,1,0,,0,0.0,0.9156626506024096,83,6,83.09388784438356,"{'close_strength': 12.35294117647059, 'breakout_proximity': 4.013888888888878, 'recent_signal': 10.0, 'price_momentum': 10, 'active_volume': 10, 'industry_breadth': 9.156626506024097, 'turnover': 10, 'float_cap': 10, 'liquidity': 2.570431273, 'controlled_5d_move': 5}"
002973.SZ,侨银股份,环境治理,固废治理,13.3,6.314948041566759,0.9240506329113939,0.9579845763540162,4.2533,42.2478623,1.77061186,0.9104704097116834,13.18,13.36,12.57,4.395604395604424,12.542,2026-09-11,3,2.1374281358787046,2026-09-11,11.3,17.699115044247794,1,0,12.45,3,4.313725490196085,0.8285714285714286,35,113,82.94291764000852,"{'close_strength': 13.860759493670908, 'breakout_proximity': 13.365705614567526, 'recent_signal': 5.7142857142857135, 'price_momentum': 10, 'active_volume': 2.289922881770081, 'industry_breadth': 8.285714285714286, 'turnover': 10, 'float_cap': 10, 'liquidity': 4.42652965, 'controlled_5d_move': 5}"
