instrument_id,name,trade_date,first_sealed_at,first_minute_close_at_limit,last_below_limit_minute,open_gap_pct,pre_seal_min_from_open_pct,early30_return_pct,first30_volume_fraction,pre_seal_points,vwap_available_points,pre_seal_above_vwap_ratio,minute_daily_volume_ratio,open_count,quality,quality_flags
002442.SZ,龙星科技,2026-09-16,09:25:00,09:30:00,,10.077519379844958,0.0,10.077519379844958,0.25508283975950036,0,0,,0.9999980286953852,0,accepted,[]
002913.SZ,奥士康,2026-09-16,11:25:57,11:26:00,11:25:00,2.1178027796161514,-1.231367465975397,5.585704831237481,0.5247433912494982,116,73,0.9315068493150684,1.0000033450042123,0,degraded,"['amount_partial', 'cumulative_average_partial']"
002617.SZ,露笑科技,2026-09-16,09:34:06,09:35:00,09:34:00,0.9404388714733702,-0.6211180124223725,10.031347962382409,0.7696565502618051,5,5,1.0,1.0000004233560946,0,accepted,[]
002730.SZ,电光科技,2026-09-16,10:01:51,10:02:00,10:01:00,0.0,-1.6635859519408935,8.733826247689326,0.5151990064462713,32,32,0.9375,1.0,1,accepted,[]
600616.SH,金枫酒业,2026-09-16,09:55:46,09:56:00,10:13:00,-0.9009009009009028,-1.136363636363591,9.909909909909832,0.4020239489782637,26,26,0.8076923076923077,0.9999991684389462,3,degraded,"['amount_partial', 'cumulative_average_partial']"
603230.SH,内蒙新华,2026-09-16,09:38:25,09:39:00,09:38:00,-0.39486673247779436,-0.7928642220018989,9.970384995064151,0.8309867613875233,9,9,0.4444444444444444,1.0,0,accepted,[]
000753.SZ,漳州发展,2026-09-16,10:30:45,10:31:00,10:30:00,0.0,-0.20000000000000018,2.8000000000000247,0.3747760774104399,61,61,0.8524590163934426,1.0,0,accepted,[]
000731.SZ,四川美丰,2026-09-16,11:00:09,11:01:00,11:11:00,0.27548209366392573,-1.1102230246251565e-14,3.9944903581266678,0.1930208212167035,91,91,0.9230769230769231,0.9999984379957599,1,accepted,[]
000670.SZ,盈方微,2026-09-16,09:51:57,09:52:00,09:51:00,-0.5524861878453025,-0.1388888888888884,9.944751381215422,0.7887895893145305,22,22,0.9545454545454546,1.0000005703068002,0,degraded,"['amount_partial', 'cumulative_average_partial']"
603276.SH,恒兴新材,2026-09-16,13:03:32,13:04:00,13:14:00,-0.8620689655172264,-2.220446049250313e-14,3.8793103448275135,0.20401791170816805,124,32,0.90625,0.9999968887948614,5,degraded,"['amount_partial', 'cumulative_average_partial']"
000720.SZ,新能泰山,2026-09-16,09:39:21,09:40:00,09:39:00,0.0,-2.110817941952503,10.026385224274325,0.75865769869671,10,10,1.0,0.9999999698521862,0,accepted,[]
600545.SH,卓郎智能,2026-09-16,11:21:25,11:22:00,11:21:00,0.2331002331002363,-1.8604651162790309,3.962703962704084,0.4382878077059858,112,112,0.7410714285714286,1.0000001997379449,0,accepted,[]
001378.SZ,德冠新材,2026-09-16,11:01:30,11:02:00,11:19:00,-0.048780487804889194,-0.2928257686677038,2.9756097560974304,0.1774407229968276,92,22,0.5909090909090909,0.9999978516384481,5,degraded,"['amount_partial', 'cumulative_average_partial']"
003001.SZ,中岩大地,2026-09-16,09:30:00,09:30:00,,10.005955926146504,0.0,10.005955926146504,0.9123072080579163,0,0,,0.9999963802460268,0,degraded,"['amount_partial', 'cumulative_average_partial']"
600059.SH,古越龙山,2026-09-16,10:04:20,10:05:00,10:14:00,0.45045045045044585,-2.242152466367664,7.995495495495453,0.4863768055850692,35,35,0.8285714285714286,1.0000004146303996,1,degraded,"['amount_partial', 'cumulative_average_partial']"
603122.SH,合富中国,2026-09-16,09:36:14,09:37:00,10:03:00,0.2535925612848544,-0.0843170320404707,9.974640743871444,0.7276443676851563,7,7,1.0,0.9999996325354575,2,accepted,[]
000592.SZ,平潭发展,2026-09-16,10:17:51,10:18:00,10:17:00,1.0101010101010166,-0.5000000000000004,3.9141414141414144,0.4895594040456871,48,48,0.6875,1.0000000555164374,0,degraded,"['amount_partial', 'cumulative_average_partial']"
